"status","label","pdf_name","matched_program","match_method","program_id"
"1","Varsity","AIC","American International College","alias","CGMpM0moyDG8wIAw8nLb"
"1","Varsity","Belmont Abbey","Belmont Abbey College","contains","XMCJQAjRdIHgsYAiU1qb"
"1","Varsity","Christendom College","Christendom College","exact","hZBXuI8WN7rfxd6Qktwd"
"1","Varsity","Franciscan Univ.","Franciscan University of Steubenville","contains","BymOcASvYDXxrRcreQl4"
"1","Varsity","Life University","Life University","exact","75GSiX26geUHyQ9xpxXf"
"1","Varsity","Marian","Marian University","contains","hqOqmRVHpniqz2DMTk9L"
"1","Varsity","McKendree","McKendree University","contains","37egPKAa7rakbQ0DJxhC"
"1","Varsity","Norwich","Norwich University","contains","lKSkekvF9YC6wwb6WgxH"
"1","Varsity","Queens","Queens University of Charlotte","contains","NKIsyrZR5VRudDmhTGXu"
"1","Varsity","Southern Nazarene","Southern Nazarene University","contains","EgS95fUGwsvboe2xq78E"
"1","Varsity","Southern Virginia","Southern Virginia University","contains","jkD6YLotSyGEOLmwtWDD"
"1","Varsity","St. Bonaventure","St. Bonaventure University","contains","VqdYAc5KIxwfCllDaRv7"
"1","Varsity","Catholic Univ.","The Catholic University of America","contains","ghV11vdlvS4RF3ARkH1c"
"1","Varsity","Thomas More","Thomas More University","contains","kP9eElgBSZqOQfZwskHZ"
"1","Varsity","Trine","Trine University","contains","ZF8qBOpF99VnkctOvCRW"
"1","Varsity","Army","United States Military Academy","alias","cXMLRg3aTlcMAGVtPeLB"
"1","Varsity","Navy","United States Naval Academy","alias","HvsyPqmmkbJZrQbtVND7"
"1","Varsity","Cal","University of California, Berkeley","alias","UbvXuhsHs570jG0M6X5G"
"1","Varsity","Rio Grande","University of Rio Grande","contains","XbCEGWYTOhskEcNcuw7T"
"1","Varsity","St. Thomas","University of St. Thomas","tiebreak","CT54LuNOevBTqP7RvLHU"
"1","Varsity","Walsh","Walsh University","contains","UU5tJ2dEBDLO29kbETE0"
"1","Varsity","Wheeling","Wheeling University","contains","MSWsFxkEl2gpoKS2JZid"
"1","Varsity","Wingate","Wingate University","contains","vpxMHObcGjqAdv6zlKsA"
"2","Sanctioned","Adrian","Adrian College","contains","fYZybfOTDBqM2AuTBRnz"
"2","Sanctioned","Aquinas","Aquinas College","contains","xfzZgleNc9RY815pp2OW"
"2","Sanctioned","Babson","Babson College","contains","3X93BWC7BxH74khY1lVq"
"2","Sanctioned","Brown","Brown University","fuzzy 1.00","WU892aA5VgYOxOdWBmJp"
"2","Sanctioned","Cal Maritime","California State University Maritime Academy","alias","YRTiRQmNxUqzjpy1BJKJ"
"2","Sanctioned","Clemson","Clemson University","contains","Siq1xPrDe0dACXqYQaew"
"2","Sanctioned","Davenport","Davenport University","contains","5oUbnJ3i4s0uiPz8prwb"
"2","Sanctioned","Drury","Drury University","contains","x9J4hZmum0DmjmKlERJx"
"2","Sanctioned","Endicott College","Endicott College","exact","rJviUJb4aPQiFfcFGwE3"
"2","Sanctioned","Fairfield","Fairfield University","contains","wdLZkeLIqMQgMllFbVS4"
"2","Sanctioned","Frostburg State Univ.","Frostburg State University","exact","5e5DIYwHb5Ct7xnv7pEv"
"2","Sanctioned","Furman Univ.","Furman University","exact","BiAbB75P8ZSTGDrzOeDi"
"2","Sanctioned","Grand Canyon","Grand Canyon University","contains","Zc8yl8g9YXEASdrmKPrJ"
"2","Sanctioned","Hampden-Sydney College","Hampden-Sydney College","exact","evD5wokxoEyfKhIs2fnw"
"2","Sanctioned","Iona","Iona University","fuzzy 1.00","f5RSPOhhYOUNUtbuv2JQ"
"2","Sanctioned","Kutztown","Kutztown University of Pennsylvania","contains","IDeLBFmxQQVpb39fYVi5"
"2","Sanctioned","Lander","Lander University","contains","Nvi6whSbtYEMMLsMNHtb"
"2","Sanctioned","Lindenwood","Lindenwood University","contains","9bCzzLDgUMVr1HilZq1Q"
"2","Sanctioned","Marywood Univ.","Marywood University","exact","Qwes3KduquFx5K1NoCtV"
"2","Sanctioned","Mount St. Mary's","Mount St. Mary's University","contains","LKneACjycnA8RvW5h2iP"
"2","Sanctioned","Principia","Principia College","contains","JOPGmjTwcXuumxBFMF1E"
"2","Sanctioned","Roger Williams Univ.","Roger Williams University","exact","uP3y6vPAPLz5tfSkP0Lw"
"2","Sanctioned","Siena","Siena College","contains","W9gCCcR9fcE1xXoAIFkm"
"2","Sanctioned","Slippery Rock Univ.","Slippery Rock University","exact","hszRqY6oS1Mhe15nNMzC"
"2","Sanctioned","Coast Guard","United States Coast Guard Academy","alias","pHzyjeC8FLCsKXV4r23L"
"2","Sanctioned","US Merchant Marine Academy","United States Merchant Marine Academy","alias","zZSesIBKHvPOPKekm6C9"
"2","Sanctioned","Univ. of Denver","University of Denver","exact","LWxS81aQoHIHxkCyPaqI"
"2","Sanctioned","Kentucky","University of Kentucky","tiebreak","bBARYE2gyLOOMeEnpAfe"
"2","Sanctioned","Mary Washington","University of Mary Washington","contains","g0UBR7wSxtkkJBTXTzYT"
"2","Sanctioned","U. Notre Dame","University of Notre Dame","fuzzy 1.00","5BpRZ8cSDlC8ncbYyShp"
"2","Sanctioned","Tennessee","University of Tennessee","tiebreak","1ubclzhkIz2b9F425KU3"
"2","Sanctioned","Vassar College","Vassar College","exact","Bqxv1tdlggpidPPALezB"
"2","Sanctioned","Wayne State","Wayne State College","contains","Lm8i9P079Cwjginj7itj"
"3","Endowed","Arkansas State","Arkansas State University","contains","3CYqixveB8EgXtKkAzgd"
"3","Endowed","BGSU","Bowling Green State University","alias","p2zEf1tyNuAbUxmHjMXH"
"3","Endowed","BYU","Brigham Young University","alias","KVorHfNr8My9FluIWm7S"
"3","Endowed","Cal Poly","California Polytechnic State University","alias","4dBWmdmiyUywwTKMq6s9"
"3","Endowed","Cornell","Cornell University","contains","JqXUagJYGK5th1u8feGZ"
"3","Endowed","Dartmouth","Dartmouth College","fuzzy 1.00","xEWAuDvogslyipMg0m47"
"3","Endowed","Fordham","Fordham University","contains","JEjSMCfe83LNUNFU9G2F"
"3","Endowed","Grand Valley State","Grand Valley State University","contains","Q5AYiPfrGEyEfVwSgCZu"
"3","Endowed","Harvard","Harvard University","contains","gVsO9liKuN4btiO2Smcq"
"3","Endowed","IUP","Indiana University of Pennsylvania","alias","LCqAzuD2izJEPRUMBI4b"
"3","Endowed","Louisiana Tech","Louisiana Tech University","contains","q4FaSy59r1BJjDKHl3RD"
"3","Endowed","Miami (OH)","Miami University of Ohio","alias","vP7pV9AfJL2vhEuYAkAv"
"3","Endowed","Miami Univ. of Ohio","Miami University of Ohio","exact","vP7pV9AfJL2vhEuYAkAv"
"3","Endowed","Saint Mary's","Mount St. Mary's University","contains","LKneACjycnA8RvW5h2iP"
"3","Endowed","Saint Louis","Saint Louis University","fuzzy 1.00","aTnwl9ZwwXneNlOi7Ptv"
"3","Endowed","Stanford","Stanford University","contains","FKSUWWN3lNOXWCdb9ISS"
"3","Endowed","Stanford Univ.","Stanford University","exact","FKSUWWN3lNOXWCdb9ISS"
"3","Endowed","Syracuse","Syracuse University","contains","9EzAdK1aC0kFfu9Jn5j3"
"3","Endowed","Texas A&M","Texas A&M University","fuzzy 1.00","5Pdmvcwp8qeXhsQOeV8o"
